,reviews
0,y competent check in staff saw had a problem with my left arm and insisted i could not take exit seat moved me to row 30 where the middle seat was empty on the other hand on board  huge line for toilets  45 min into a 230 min flight a crew member realised one of the toilets is closed  as crew had put their luggage there they announced that they could not serve hot drinks on this flight and to bear with them as service will be slow on asking why they did not give us enough cups for hot drinks and the card machine is not working so we have to fill out each credit card slip a bottle of water and a nutrigrain bar
1,check in was so slow no self check in and bag drop boarding was ok flight totally full booked row 9 which was ok some space in overhead bins seat and legroom ok cabin crew ok smiled gave out the bottle of water and pretzels flight itself was ok landed 25 mins early and then waited 30 minutes for a stand and ground crew bags came off reasonably quickly ba still seems to believe it is something special a premium carrier the reality is that it is not the only reason we flew ba was we got virtually free tickets because both flights were cancelled last year ba is our carrier of last choice
2,my review relates to the appalling experiences i had with british airways on 14th february 2023 i was due to travel to madrid with british airways and before setting off i heard on the radio that there were flight delays i looked at the heathrow airport website and saw that my flight had been cancelled as a result of the information on the website i called british airways and have 26 minutes on hold i found myself speaking to somebody in a call centre in south africa the person was hard to understand due to a heavy accent and he was incompetent and insisted that the flight was not cancelled i made my way to heathrow and sure enough the flight was indeed cancelled the woman in question had the audacity to declare that the flight was cancelled and that there are no facilities here at the airport to rebook you she refused to let me and about 12 other people join the queue for the clearly marked assistance desk the same woman and one of her colleagues gave out a card with a telephone number and told one rather elderly gentleman to go online to rebook your seat i am visually impaired and found the attitude of the ba employee to be appalling i called the number on the card the employee gave me and was again in a long queue to a call centre the person who picked up the phone kept me waiting 22 minutes and declared that the flight was not cancelled and that the airport must be wrong he then in a flippant tone said he was just informed that the flight was indeed cancelled and that i would have to go and speak to iberia customer services in heathrow to rebook i took the elderly gentleman with me to iberia where the counter staff member rolled her eyes in disgust and said that it was nothing to do with iberia i returned to ba and this time i joined the checkin line and told a checkin agent what had happened the man in question booked me onto the next available flight within a matter of a few minutes he gave me a 30 voucher as a form of compensation but said he could not add my frequent flyer number with a partner airline the voucher proved useless i am afraid as various shops in the predepature area refused to accept it and although i was told i could use it after clearing security none of the shops would accept it once aboard my new flight the service was minimal other than a tiny bottle of water and a packet of pretzels nothing else was available this was a full flight as so many people had been transferred from the cancelled flight ba cabin crew announced that any additional items other than the small bottle of water and pretzels had to be ordered via their skyshop
3,his was my first time flying with ba  i was pleasantly surprised islamabad via doha was very comfortable and the crew were great friendly and helpful the second flight was operated by qatar airways this was from doha to islamabad my return journey was a direct ba flight 46kg luggage allowance was really generous and stopped the hassle with connecting flights crew on this flight were really nice too what let ba down was the food it really was not nice the ife could do with some more content but thats not really a huge issue
4,lots of cancellations and delays and no one apologized edinburgh to london on feb 14th 2023 our original flight was cancelled and the rebooked one was cancelled as well the third rebooked one was supposed to departure at 1250 and had several delays until 224 then we had to wait 57 minutes for our luggage to arrive
5,ba 242 on the 6223 boarding was delayed due to late arrival from the incoming flight communication from the ground staff was excellent and keep us informed in flight services were excellent the crews were friendly with excellent service overall very happy with ba
6,nly my first flight in 17 years but also my first time back to england for 17 years i flew from pmilgw on 21012023 and returned on 29012023 both wizz air and easyjet offered very inconvenient flight times and charged more than the flights were worth for baggage british airways were the most convenient and best value option available they offered ideal flight times and the 18 charge per flight for baggage was very reasonable  total cost for both flights was 126  regular update information via email seamless online seat allocation and check in efficient staff at the check in desks at pmi and lgw ensured that long queues were dealt with as quickly as humanly possible immaculate aircraft comfortable leather seats with adequate legroom im 64 tall cabin crew were polite friendly and professional in flight food and drinks were good quality and reasonably priced i enjoyed the meat ploughmans and ipa beer 10  total on both flights i have flown 80 times in the last 50 years with different airlines on various propeller and jet aircraft as well as one lgwlhr helicopter transfer flying was a totally different experience back in the day we are now in the age of the budget airline nostalgia aside british airways are the best airline ive flown with
7,my husband and myself were flying to madrid on the 3rd of february for a legal matter and we had to be in madrid by 1300 pm we had booked our flight and car with ba holidays unfortunately we chose a parking we had never used before we got lost and missed our 600 am flight to madrid i tried to stay calm cold head and we went to british airways to get help the first lady that we spoke to asked if we had done the booking with ba holidays we didnt know that she gave us a number to call and told us that she couldnt do anything else that we had to call that number we called the number which was asking us to call another  number which we did and there the message was that opening hours were from 8 am till 4 pm we went back to the lady and explained that we couldnt wait until 8 am but she told us that she could not do anything i did reach out to another staff  a lovely young lady called althea she started to look at it made several calls went to check with someone else to an office she managed to get someone to send me a text message that i had to call and that got answered and the other lovely lady on the line modified our booking to place us in the following flight at 730 am they didnt charge us for that our car reservation and flight back were maintained and we made it to madrid without the support of the lovely althea her professionalism her care for us we would not have make it she was so sweet so caring but at the same time so determined to help she for sure went above and beyond her role and her responsibilities
8,organised boarding process really friendly crew quick drink and a snack all in all a great experience the crew are a credit to ba the best crew in europe
9,outward journey ba245 london to buenos aires club world 10 january 2023 our experience was poor from beginning to end although we had reserved seats 11f and 12j another passenger was occupying 11f and crew made no attempt to address the problem eventually i persuaded the passenger to move and occupy her designated seat 11d we boarded punctually but were not offered drinks when i asked for a drink the crew member said it was too late and blamed the seating problem the same crew member then began taking orders for dinner but did not write them all down and gave up after a few minutes for the safety briefing she asked us to repeat our orders later the hot flannels smelled musty and felt old and ragged  one of the crew wondered aloud whether my companion and i were related  my soup was cold i was told it was served from flasks was that an explanation or an excuse my coffee was weak and tasted like instant granules my companion was initially served no bread roll with dinner the breakfast menu stated a selection of rollspastries but there was no choice and my companion was given a dried fruit pastry where he would have chosen a bread roll  although we had not previously asked for or been offered any other than those supplied at the seat small bottles of water ran out return journey ba244 buenos aires to london heathrow world traveller plus 26 january 2023 was a huge contrast from the warm welcome on boarding to crews professionalism throughout its a poor reflection on club world service that our experience in world traveller plus was so much better and kinder weighed against the advantages of a flat bed the considerable price difference was not worth paying for the catalogue of errors and inconveniences outlined above
